.2	.1	0.2241
.2	.2	0.2283
.2	.3	0.2297
.2	.4	0.2277
.2	.5	0.2272
.2	.6	0.2258
.2	.7	0.2217
.2	.8	0.2206
.2	.9	0.2186
.4	.1	0.2240
.4	.2	0.2287
.4	.3	0.2306
.4	.4	0.2300
.4	.5	0.2286
.4	.6	0.2282
.4	.7	0.2249
.4	.8	0.2232
.4	.9	0.2202
.6	.1	0.2249
.6	.2	0.2300
.6	.3	0.2308
.6	.4	0.2301
.6	.5	0.2284
.6	.6	0.2275
.6	.7	0.2231
.6	.8	0.2210
.6	.9	0.2182
.8	.1	0.2235
.8	.2	0.2293
.8	.3	0.2302
.8	.4	0.2308
.8	.5	0.2277
.8	.6	0.2255
.8	.7	0.2223
.8	.8	0.2190
.8	.9	0.2155
1.0	.1	0.2230
1.0	.2	0.2276
1.0	.3	0.2284
1.0	.4	0.2280
1.0	.5	0.2258
1.0	.6	0.2229
1.0	.7	0.2204
1.0	.8	0.2158
1.0	.9	0.2117
1.2	.1	0.2220
1.2	.2	0.2248
1.2	.3	0.2253
1.2	.4	0.2249
1.2	.5	0.2242
1.2	.6	0.2212
1.2	.7	0.2171
1.2	.8	0.2147
1.2	.9	0.2093
1.4	.1	0.2200
1.4	.2	0.2224
1.4	.3	0.2227
1.4	.4	0.2214
1.4	.5	0.2209
1.4	.6	0.2172
1.4	.7	0.2150
1.4	.8	0.2119
1.4	.9	0.2073
1.6	.1	0.2162
1.6	.2	0.2198
1.6	.3	0.2197
1.6	.4	0.2194
1.6	.5	0.2194
1.6	.6	0.2163
1.6	.7	0.2131
1.6	.8	0.2101
1.6	.9	0.2050
1.8	.1	0.2134
1.8	.2	0.2166
1.8	.3	0.2168
1.8	.4	0.2163
1.8	.5	0.2143
1.8	.6	0.2140
1.8	.7	0.2110
1.8	.8	0.2071
1.8	.9	0.2018
2.0	.1	0.2102
2.0	.2	0.2140
2.0	.3	0.2146
2.0	.4	0.2141
2.0	.5	0.2124
2.0	.6	0.2118
2.0	.7	0.2085
2.0	.8	0.2034
2.0	.9	0.1989
