.2	.1	0.2531
.2	.2	0.2563
.2	.3	0.2575
.2	.4	0.2576
.2	.5	0.2574
.2	.6	0.2567
.2	.7	0.2540
.2	.8	0.2492
.2	.9	0.2461
.4	.1	0.2537
.4	.2	0.2590
.4	.3	0.2610
.4	.4	0.2608
.4	.5	0.2598
.4	.6	0.2588
.4	.7	0.2550
.4	.8	0.2501
.4	.9	0.2459
.6	.1	0.2573
.6	.2	0.2600
.6	.3	0.2610
.6	.4	0.2594
.6	.5	0.2584
.6	.6	0.2565
.6	.7	0.2503
.6	.8	0.2458
.6	.9	0.2413
.8	.1	0.2566
.8	.2	0.2580
.8	.3	0.2584
.8	.4	0.2572
.8	.5	0.2562
.8	.6	0.2533
.8	.7	0.2472
.8	.8	0.2432
.8	.9	0.2395
1.0	.1	0.2517
1.0	.2	0.2533
1.0	.3	0.2541
1.0	.4	0.2536
1.0	.5	0.2522
1.0	.6	0.2505
1.0	.7	0.2434
1.0	.8	0.2383
1.0	.9	0.2345
1.2	.1	0.2484
1.2	.2	0.2491
1.2	.3	0.2485
1.2	.4	0.2497
1.2	.5	0.2474
1.2	.6	0.2453
1.2	.7	0.2373
1.2	.8	0.2330
1.2	.9	0.2285
1.4	.1	0.2461
1.4	.2	0.2451
1.4	.3	0.2443
1.4	.4	0.2443
1.4	.5	0.2421
1.4	.6	0.2404
1.4	.7	0.2329
1.4	.8	0.2285
1.4	.9	0.2236
1.6	.1	0.2427
1.6	.2	0.2410
1.6	.3	0.2396
1.6	.4	0.2385
1.6	.5	0.2368
1.6	.6	0.2355
1.6	.7	0.2292
1.6	.8	0.2245
1.6	.9	0.2195
1.8	.1	0.2373
1.8	.2	0.2367
1.8	.3	0.2344
1.8	.4	0.2337
1.8	.5	0.2324
1.8	.6	0.2309
1.8	.7	0.2247
1.8	.8	0.2204
1.8	.9	0.2154
2.0	.1	0.2313
2.0	.2	0.2310
2.0	.3	0.2291
2.0	.4	0.2295
2.0	.5	0.2281
2.0	.6	0.2271
2.0	.7	0.2213
2.0	.8	0.2165
2.0	.9	0.2114
